FILENAME,HEIGHT,WIDTH,TAKENAT,ISZINE,FSTOP,EXPOSURETIME,ISO,BANDID,VENUEID
R0055441.jpg,3040,4054,2024-03-13T22:40:09.000Z,false,2.8,0.016666666666666666,3200,,
R0055457.jpg,2858,3811,2024-03-13T22:50:11.000Z,false,2.8,0.03333333333333333,3200,,
R0055462.jpg,3626,2719,2024-03-13T22:51:36.000Z,false,2.8,0.05,3200,,
R0055465.jpg,3868,2901,2024-03-13T22:51:41.000Z,false,2.8,0.05,3200,,
R0055467.jpg,3973,2980,2024-03-13T22:51:43.000Z,false,2.8,0.05,3200,,
R0055500.jpg,2880,3840,2024-03-14T03:23:01.000Z,false,2.8,0.00625,3200,,
R0055512.jpg,3040,4054,2024-03-14T03:38:16.000Z,false,2.8,0.008,3200,,
R0055515.jpg,2892,3856,2024-03-14T03:41:20.000Z,false,2.8,0.011111111111111112,3200,,
R0055524.jpg,2768,3690,2024-03-14T04:34:21.000Z,false,2.8,0.005555555555555556,3200,,
R0055531.jpg,2833,3777,2024-03-14T05:16:46.000Z,false,2.8,0.004,400,,
R0055552.jpg,2818,3757,2024-03-14T05:36:58.000Z,false,2.8,0.011111111111111112,3200,,
R0055557.jpg,2971,3961,2024-03-14T06:20:00.000Z,false,2.8,0.008,3200,,
R0055560.jpg,3007,4009,2024-03-14T06:44:25.000Z,false,2.8,0.008,3200,,
R0055563.jpg,3092,4122,2024-03-14T06:44:27.000Z,false,2.8,0.008,3200,,
R0055584.jpg,2703,3604,2024-03-14T21:34:06.000Z,false,3.2,0.0015625,400,,
R0055603.jpg,3020,4027,2024-03-14T22:02:16.000Z,false,3.2,0.5,3200,,
R0055614.jpg,3834,2876,2024-03-14T22:23:34.000Z,false,2.8,0.04,3200,,
R0055618.jpg,3027,4036,2024-03-14T22:24:45.000Z,false,2.8,0.03333333333333333,3200,,
R0055619.jpg,3741,2806,2024-03-14T22:30:00.000Z,false,2.8,0.02,3200,,
R0055624.jpg,2872,3830,2024-03-14T22:32:24.000Z,false,2.8,0.04,3200,,
R0055632.jpg,3190,4253,2024-03-14T22:41:07.000Z,false,2.8,0.05,3200,,
R0055680.jpg,3933,2950,2024-03-15T00:58:23.000Z,false,2.8,0.004,2500,,
R0055699.jpg,2903,3871,2024-03-15T01:56:42.000Z,false,2.8,0.004,400,,
R0055706.jpg,3099,4132,2024-03-15T02:08:59.000Z,false,2.8,0.004,1100,,
R0055718.jpg,2809,3745,2024-03-15T03:19:34.000Z,false,2.8,0.004,3200,,
R0055732.jpg,3062,4083,2024-03-15T04:31:52.000Z,false,2.8,0.00625,3200,,
R0055742.jpg,2885,3847,2024-03-15T05:10:58.000Z,false,2.8,0.004,3200,,
R0055759.jpg,2794,3726,2024-03-15T17:14:04.000Z,false,3.5,0.004,800,,
R0055762.jpg,2944,3925,2024-03-15T17:21:48.000Z,false,3.5,0.004,1000,,
R0055778.jpg,2930,3906,2024-03-15T18:40:16.000Z,false,4,0.03333333333333333,3200,,
R0055792.jpg,2996,3995,2024-03-15T19:28:45.000Z,false,4,0.004,640,,
R0055793.jpg,2967,3956,2024-03-15T19:30:07.000Z,false,4,0.0025,400,,
R0055795.jpg,2967,3956,2024-03-15T19:30:08.000Z,false,4,0.0025,400,,
R0055808.jpg,3935,2951,2024-03-15T21:45:02.000Z,false,3.2,0.004,3200,,
R0055810.jpg,3108,4144,2024-03-15T21:49:48.000Z,false,3.2,0.004,2000,,
R0055811.jpg,3067,4090,2024-03-15T21:53:33.000Z,false,3.2,0.004,3200,,
R0055814.jpg,2895,3860,2024-03-15T21:54:15.000Z,false,3.2,0.004,3200,,
R0055835.jpg,3591,2693,2024-03-15T22:42:06.000Z,false,2.8,0.004,1600,,
R0055841.jpg,2927,3903,2024-03-15T22:49:08.000Z,false,2.8,0.004,3200,,
R0055847.jpg,3346,2510,2024-03-15T23:11:23.000Z,false,2.8,0.008,3200,,
R0055853.jpg,2794,3725,2024-03-16T03:38:11.000Z,false,2.8,0.016666666666666666,3200,,
R0055855.jpg,2780,3706,2024-03-16T03:39:02.000Z,false,2.8,0.016666666666666666,3200,,
R0055861.jpg,2785,3713,2024-03-16T04:17:12.000Z,false,2.8,0.008,3200,,
R0055864.jpg,2663,3550,2024-03-16T04:31:54.000Z,false,2.8,0.008,3200,,
R0055874.jpg,2893,3857,2024-03-16T05:17:34.000Z,false,4,0.06666666666666667,3200,,
R0055887.jpg,2941,3921,2024-03-16T05:40:39.000Z,false,4,0.05,3200,,
R0055896.jpg,2975,3967,2024-03-16T05:43:29.000Z,false,4,0.05,3200,,
R0055902.jpg,2751,3668,2024-03-16T20:22:47.000Z,false,3.5,0.003125,400,,
R0055912.jpg,2725,3633,2024-03-16T20:33:16.000Z,false,3.5,0.004,560,,
R0055915.jpg,2834,3779,2024-03-16T21:10:00.000Z,false,3.5,0.004,400,,
R0055961.jpg,2992,3989,2024-03-16T22:37:34.000Z,false,5.6,0.025,3200,,
R0055962.jpg,2657,3542,2024-03-16T23:21:11.000Z,false,5.6,0.004,1600,,
R0055987.jpg,2965,3953,2024-03-16T23:51:24.000Z,false,5.6,0.008,3200,,
R0056005.jpg,2795,3726,2024-03-17T00:50:56.000Z,false,2.8,0.004,3200,,
R0056018.jpg,2875,3833,2024-03-17T03:47:46.000Z,false,2.8,0.008,3200,,
R0056021.jpg,3113,4150,2024-03-17T03:53:20.000Z,false,2.8,0.008,3200,,
R0056036.jpg,2654,3538,2024-03-17T04:50:03.000Z,false,2.8,0.03333333333333333,3200,,
R0056044.jpg,2874,3832,2024-03-17T04:52:42.000Z,false,2.8,0.016666666666666666,3200,,
R0056060.jpg,3533,2650,2024-03-17T04:54:47.000Z,false,2.8,0.02,3200,,
R0056061.jpg,3647,2735,2024-03-17T04:54:47.000Z,false,2.8,0.02,3200,,
